idx	tok	arabish	pos	analysis
9	ب+ال+رجولية	berjoulia	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
72	ال+ربيع	errabi3	DET+NOUN	_yes
89	ال+رئيس	erra2is	DET+NOUN	_yes
146	ال+شعب	sha3b	DET+NOUN	_abs
166	ال+جبّانة	jabena	DET+NOUN-NSUFF_FEM_SG	_abs
169	ال+تونسي	ettounsi	DET+NOUN	-si
195	ب+ال+دموع	bedmou3	PREP+DET+NOUN	_yes
204	ب+ال+رجولية	berjoulia	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
295	ال+ثورة	ethawra	DET+NOUN-NSUFF_FEM_SG	_yes
363	ب+ال+شفى	bechfee	[PREP+DET+NOUN]INTERJ	_yes
456	ال+زبدة	zebda	DET+NOUN-NSUFF_FEM_SG	_abs
493	ع+ال#طاولة	3al#tawla	PREP+DET#NOUN-NSUFF_FEM_SG	_no
497	ب+ال#نشا	bil#nchei	PREP+DET#NOUN	_no
591	ال+سر	esser	DET+NOUN	_yes
594	ال+زيت	ezzit	DET+NOUN	_yes
708	ال+لوز	elouz	DET+NOUN	_yes
721	ال+طبق	etba9	DET+NOUN	_yes
755	ب+ال+شحور	bech7our	PREP+DET+NOUN	_yes
760	ب+ال+شفا	bechfaa	[PREP+DET+NOUN]INTERJ	_yes
794	ال+شحور	ech7our	DET+NOUN	_yes
1303	ل+ال#درجة	l'I#darjet	PREP+DET#NOUN-NSUFF_FEM_SG	_no
1445	ل+ال+زواج	lizawej	PREP+DET+NOUN	_yes
1485	في+ال#دين	fel#din	PREP+DET#NOUN	_no
1518	ل+ال#راجل	lel#rajel	PREP+DET#NOUN	_no
1526	في+ال#صغار	fel#sgar	PREP+DET#NOUN	_no
1557	في+ال#دنيا	fel#denia	PREP+DET#NOUN	_no
1570	في+ال#دنيا	fel#denia	PREP+DET#NOUN	_no
1625	ال+ناس	ennes	DET+NOUN	_yes
1662	ال+ناس	ennes	DET+NOUN	_yes
1710	ال+ناس	ennes	DET+NOUN	_yes
1718	ال+ناس	ennes	DET+NOUN	_yes
1771	ع+ال+سلامة	asslema	[PREP+DET+NOUN-NSUFF_FEM_SG]INTERJ	_yes
1957	ال#ركبة	el#roukba	DET#NOUN-NSUFF_FEM_SG	_no
1965	في+ال#شتا	fel#chté	PREP+DET#NOUN	_no
1995	ال#روح+ي	el#ro7i	DET#NOUN+POSS_PRON_1S	_no
2613	ال+جنب	jnab	DET+NOUN	_abs
2619	ال+جامع	jema3	DET+NOUN	_abs
4152	ال+نهار	inhar	DET+NOUN	_yes
4289	ال+جامع	jame3	DET+NOUN	_abs
4318	ع+ال+سلامة+كم	3aslemetkom	[PREP+DET+NOUN-NSUFF_FEM_SG+PRON_2P]INTERJ	_yes
4814	ال+شمس	echemes	DET+NOUN	_yes
5005	ال+صبر	Isabr	[DET+NOUN]INTERJ	_yes
